"","x"
"109","album rock,art rock,blues-rock,classic rock,country rock,folk,folk christmas,folk rock,folk-pop,hard rock,lilith,mellow gold,piano rock,pop rock,rock,rock-and-roll,rockabilly,roots rock,singer-songwriter,soft rock,southern rock,traditional folk"
"110","neo mellow,pop,pop rock,singer-songwriter,viral pop"
"111","neo mellow,pop,pop rock"
"112","acoustic pop,folk christmas,folk-pop,neo mellow,pop,pop christmas,pop rock,viral pop"
"113","adult standards,neo mellow,pop christmas,vocal jazz"
"114","electronic"
"115","east coast hip hop,hip hop,pop rap,rap,southern hip hop,trap music"
"116","chamber pop,folk-pop,freak folk,harp,indie folk,new weird america"
"117","album rock,blues-rock,british blues,classic rock,electric blues,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock"
"118","boogie-woogie"
"119","acoustic pop,alternative country,anti-folk,chamber pop,deep new americana,folk,folk-pop,indie folk,indie pop,neo mellow,new americana,pop rock,progressive bluegrass,roots rock,singer-songwriter,stomp and holler"
"120","canadian pop,dance pop,pop,pop christmas,post-teen pop"
"121","boy band,dance pop,pop,pop rap,post-teen pop,r&b"
"122","alternative rock,britpop,dance-punk,garage rock,indie rock,new rave,rock"
"123","pop,pop christmas,pop rap,rap"
"124","alternative dance,alternative rock,electronic,garage rock,indie rock,new rave,rock"
"125","norwegian pop,norwegian rock"
"126","neo mellow,piano rock,pop,pop rock,rock"
"127","dance pop,dance rock,eurodance,europop,new romantic,new wave,new wave pop,pop christmas,soft rock,soul christmas,synthpop"
"128",""
"129","alternative rock,garage rock,indie pop,indie rock,neo mellow,rock"
"130","dance pop,indie r&b,neo soul,pop,pop rap,rap"
"131","album rock,classic rock,glam metal,glam rock,hard rock,metal,rock"
"132","dance-punk,new rave"
"133","classic funk rock,disco,funk,funk rock,jazz funk,memphis soul,motown,post-disco,quiet storm,soul,soul christmas"
"134","art rock,big beat,dance rock,electro,electronic,experimental,german techno,kraut rock,new romantic,new wave,post-punk,synthpop"
"135","minimal dub,pop,tropical house"
"136","alternative country,anti-folk,art rock,chamber pop,chamber psych,folk-pop,freak folk,indie folk,indie pop,indie rock,lo-fi,melancholia,new weird america,roots rock,singer-songwriter,slow core"
"137","alternative dance,alternative rock,brooklyn indie,chamber pop,dance-punk,electronic,garage rock,indie folk,indie pop,indie rock,indietronica,neo-psychedelic,new rave,new wave,synthpop"
"138","acid house,big beat,britpop,downtempo,downtempo fusion,electronic,hip house,madchester,trip hop"
"139","alternative rock,classic rock,funk rock,hard rock,neo mellow,permanent wave,pop rock,rock,singer-songwriter"
"140","art rock,dance rock,disco,mellow gold,new romantic,new wave,new wave pop,post-disco,soft rock,synthpop"
"141","dance pop,europop,folk-pop,neo mellow,pop,pop rock,post-teen pop"
"142","alternative metal,nu metal,post-grunge,rap metal"
"143","alternative metal"
"144","alternative country,anti-folk,country blues,country rock,folk,folk rock,folk-pop,lilith,mellow gold,new americana,outlaw country,roots rock,singer-songwriter,texas country,traditional folk"
"145","dance pop,dance rock,disco house,europop,hip house,new romantic,new wave pop,vocal house"
"146","alternative dance,dance pop,escape room,hip pop,indie r&b,new rave,pop"
"147","indie rock,indietronica"
"148","dance pop,edm,electro house,moombahton,pop,tropical house"
"149","alternative rock,britpop,dance rock,electronic,garage rock,indie christmas,indie rock,madchester,new wave,new wave pop,permanent wave,pop rock,rock,welsh rock"
"150","latin alternative,rock en espanol,world"
"151","downtempo,electronic,nu jazz,trip hop"
"152","alternative rock,art rock,britpop,chamber pop,chamber psych,dream pop,electronic,experimental,experimental rock,freak folk,garage rock,indie pop,indie rock,lo-fi,madchester,melancholia,neo-psychedelic,noise pop,post rock,post-punk,power pop,shoegaze,singer-songwriter,slow core,space rock,uk post-punk"
"153","alternative metal,alternative rock,hard rock,metal,rock,speed metal,thrash metal"
"154","dance rock,new romantic,new wave,new wave pop,synthpop"
"155","downtempo,electronic"
"156","alternative rock,blues-rock,folk-pop,garage rock,indie folk,indie pop,indie rock,lo-fi,neo-psychedelic,noise pop,pop rock,stomp and holler"
"157","compositional ambient,electronic,post rock"
"158","dance rock,indie rock,madchester,new romantic,new wave,permanent wave,pop rock,rock"
"159","folk-pop,indie folk,indie pop,neo mellow,singer-songwriter,stomp and holler"
"160","alternative rock,indie rock,permanent wave,piano rock,post-grunge,rock"
"161","emo,pop punk,punk christmas,screamo"
"162","disco house,electronic"
"163","dirty south rap,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop"
"164","album rock,blues-rock,classic rock,mellow gold,permanent wave,protopunk,psychedelic rock,rock,roots rock,singer-songwriter,soft rock"
"165","alternative dance,alternative rock,britpop,dance rock,electronic,indie rock,madchester,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,synthpop,uk post-punk"
"166","indie anthem-folk,neo mellow,pop rock"
"167","alternative rock,art rock,chamber pop,garage rock,new wave,permanent wave,singer-songwriter"
"168","dance pop,hip pop,pop,pop rap"
"169","alt-indie rock,britpop,garage rock,indie rock,madchester,rock"
"170",""
"171","alternative rock,britpop,indie rock,neo mellow,permanent wave,pop rock,rock"
"172","art rock,dance rock,madchester,new romantic,new wave,new wave pop,permanent wave,post-punk,synthpop,uk post-punk"
"173","acoustic pop,folk-pop,neo mellow,pop,pop rock"
"174","album rock,art rock,classic rock,folk rock,mellow gold,pop christmas,rock,roots rock,singer-songwriter,soft rock"
"175","album rock,brill building pop,classic rock,folk,folk christmas,folk rock,folk-pop,mellow gold,neo mellow,permanent wave,pop rock,rock,roots rock,singer-songwriter,soft rock,soul,traditional folk"
"176","art rock,britpop,dance rock,madchester,neo mellow,new wave pop,rock"
"177","album rock,alternative metal,alternative rock,classic rock,funk rock,grunge,hard rock,nu metal,permanent wave,pop rock,post-grunge,rock"
"178","dance pop,dance rock,electronic,europop,new romantic,new wave,new wave pop,permanent wave,synthpop"
"179","album rock,art rock,dance rock,mellow gold,new romantic,new wave,permanent wave,progressive rock,rock,singer-songwriter,soft rock,symphonic rock"
"180",""
"181","alternative rock,blues-rock,boston rock,classic rock,dance rock,dance-punk,funk rock,garage rock,indie pop,indie rock,lo-fi,neo-psychedelic,new wave,noise pop,permanent wave,pop rock,rock"
"182",""
"183","alternative rock,electronic,laboratorio,trip hop"
"184","alt-indie rock,alternative dance,alternative rock,big beat,britpop,classic rock,dance rock,dance-punk,dream pop,electronic,funk rock,garage rock,indie rock,madchester,neo-psychedelic,new rave,new wave,rock,space rock,trip hop"
"185","alternative rock,art rock,dance rock,dream pop,madchester,new romantic,new wave,new wave pop,post-punk,power pop,punk,synthpop,uk post-punk"
"186","alternative rock,britpop,dance rock,electronic,garage rock,indie rock,madchester,new wave,new wave pop,permanent wave,rock,sheffield indie"
"187","album rock,classic rock,glam rock,hard rock,heavy christmas,rock"
"188","alternative metal,alternative rock,blues-rock,funk rock,garage rock,indie rock,neo-psychedelic,nu metal,post-grunge,rock,stoner metal,stoner rock"
"189","alternative rock,indie rock,melancholia,permanent wave,rock"
"190","alternative metal,alternative rock,blues-rock,funk metal,funk rock,garage rock,nu metal,post-grunge,rap metal,rap rock,rock"
"191","alternative metal,german metal,industrial,industrial metal,industrial rock,neue deutsche harte,nu metal"
"192","britpop,garage rock,indie rock,madchester,neo mellow,pop rock,rock"
"193","alternative rock,funk metal,funk rock,permanent wave,pop rock,rock"
"194","album rock,alternative rock,classic rock,dance rock,folk christmas,hard rock,indie rock,mellow gold,neo mellow,new wave,permanent wave,pop christmas,pop rock,rock,singer-songwriter"
"195","britpop,madchester,rock"
"196","dance pop,pop,pop christmas,r&b,soul christmas,urban contemporary"
"197","album rock,art rock,blues-rock,british blues,classic rock,electric blues,folk rock,hard rock,mellow gold,progressive rock,rock,roots rock,singer-songwriter,soft rock,symphonic rock"
"198","adult standards,album rock,art rock,classic rock,folk christmas,folk rock,hard rock,mellow gold,rock,singer-songwriter,soft rock"
"199","album rock,art rock,mellow gold,progressive rock,soft rock,symphonic rock"
"200","album rock,art rock,classic rock,dance rock,glam rock,melancholia,mellow gold,new romantic,new wave,new wave pop,post-punk,protopunk,rock,singer-songwriter,soft rock,synthpop,uk post-punk"
"201","edm,house,liquid funk,pop,tropical house,uk funky"
"202","east coast hip hop,hardcore hip hop,hip hop,old school hip hop,pop rap,rap"
"203","alternative country,folk-pop,indie folk,indie pop,neo mellow,new americana,pop rock,roots rock,singer-songwriter,stomp and holler"
"204","alternative dance,dance pop,disco house,europop,pop,pop rock,synthpop"
"205","dance pop,europop,grime,neo mellow,pop,pop rock"
"206","soft rock"
"207","acoustic blues,blues,blues-rock,country blues,delta blues,electric blues,garage rock,modern blues,punk blues,texas blues,traditional blues"
"208","candy pop,dance rock,europop,new romantic,new wave pop"
"209","bow pop,chamber pop,compositional ambient,dream pop,ethereal wave,icelandic pop,indie folk,melancholia,post rock"
"210","art rock,dance rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,synthpop"
"211","folk,folk-pop,lilith,new wave pop,pop christmas,pop rock,singer-songwriter"
"212","grime,hip hop,house,pop rap,rap"
"213","pop rock"
"214","alternative metal,nu metal,post-grunge,rap metal,rap rock,rock"
"215","brill building pop,chicago soul,classic funk rock,classic rock,disco,folk rock,funk,funk rock,jazz blues,mellow gold,memphis soul,motown,psychedelic rock,rock,roots rock,singer-songwriter,soul,soul blues,southern soul"
"216","g funk,gangster rap,hip hop,pop christmas,pop rap,rap,southern hip hop,west coast rap"
"217","indie christmas,irish rock,neo mellow,permanent wave,pop,pop christmas,pop rock,rock"
"218","classic funk rock,disco,funk,hip house,new jack swing,post-disco,quiet storm,urban contemporary"
"219","art rock,britpop,dance rock,indie christmas,jangle pop,madchester,new romantic,new wave,new wave pop,power pop,pub rock,rock"
"220","alternative dance,alternative rock,anti-folk,chamber pop,chillwave,dream pop,escape room,etherpop,folk-pop,freak folk,indie folk,indie pop,indie r&b,indie rock,indietronica,lo-fi,metropopolis,neo-psychedelic,new rave,noise pop,pop,pop rock,shimmer pop,singer-songwriter,synthpop"
"221","album rock,blues-rock,british blues,classic rock,glam rock,hard rock,heavy christmas,mellow gold,rock,soft rock,southern rock"
"222","alternative rock,britpop,electronic,garage rock,indie rock,neo mellow,pop rock,rock,welsh rock"
"223","alternative country,country rock,folk,folk rock,mellow gold,new americana,outlaw country,rock,roots rock,singer-songwriter,southern rock,texas country,traditional country,traditional folk"
"224","classic funk rock,funk,funk rock,motown,quiet storm,soul,soul christmas"
"225","alternative rock,britpop,dance rock,indie rock,madchester,new wave,new wave pop,rock"
"226","alternative rock,chamber pop,folk christmas,folk-pop,freak folk,indie christmas,indie folk,indie pop,indie rock,neo mellow,neo-psychedelic,pop christmas,singer-songwriter,stomp and holler"
"227","bubblegum dance,dance pop,europop,pop,pop christmas,pop rock,post-teen pop,r&b,tropical house,uk garage"
"228","alternative rock,big beat,britpop,chamber psych,electronic,madchester,neo-psychedelic,space rock,welsh rock"
"229","anti-folk,art rock,folk,folk-pop,lilith,mellow gold,new wave pop,permanent wave,pop rock,singer-songwriter"
"230","alternative metal,alternative rock,funk rock,nu metal,post-grunge,rock"
"231","album rock,art rock,blues-rock,british blues,britpop,classic rock,dance rock,folk rock,garage rock,glam rock,hard rock,heavy christmas,new wave,protopunk,psychedelic rock,punk,rock,singer-songwriter"
"232","australian alternative rock,indie pop,indie rock,indietronica,neo-psychedelic,psychedelic rock"
"233","britpop,dance pop,dance rock,europop,lilith,neo mellow,new romantic,new wave pop,pop rock,scottish rock"
"234","nu gaze,pop,shiver pop"
"235","art rock,dance rock,new romantic,new wave,new wave pop,permanent wave,pop rock,post-punk,power pop,rock,synthpop,zolo"
"236","album rock,alternative rock,blues-rock,classic rock,electric blues,funk rock,hard rock,jam band,mellow gold,modern blues,pop rock,post-grunge,rock,roots rock,singer-songwriter,southern rock"
"237","dance pop,pop,pop rap,post-teen pop"
"238","alternative rock,blues-rock,classic rock,garage rock,indie pop,indie rock,modern blues,punk blues,rock"
"239","dance rock,new romantic,new wave,new wave pop,power pop,pub rock,punk"
"240","dance rock,new romantic,new wave,new wave pop,synthpop"
"241","alternative rock,art rock,dance rock,new romantic,new wave,permanent wave,pop rock,rock"
"242","album rock,comic,glam metal,hard rock,heavy christmas,metal,rock"
"243",""
"244","alternative rock,anti-folk,blues-rock,chamber pop,dance-punk,dream pop,experimental rock,folk-pop,freak folk,garage rock,indie christmas,indie folk,indie pop,indie rock,indietronica,lo-fi,neo-psychedelic,new rave,new wave,noise pop,ok indie,psychedelic rock,rock,singer-songwriter,slow core,space rock"
"245","britpop"
"246","flamenco,rumba,world,world christmas"
"247","art rock,dance pop,dance rock,disco,europop,madchester,new romantic,new wave,new wave pop,permanent wave,post-punk,soft rock,synthpop"
"248","alt-indie rock"
"249","alternative rock,garage rock,indie christmas,indie pop,indie rock,permanent wave,pop christmas,pop rock,rock,vegas indie"
"250","britpop,celtic rock,madchester"
"251","alt-indie rock,alternative rock,britpop,dance-punk,funk rock,garage rock,indie rock,madchester,new rave,rock"
"252","alt-indie rock,alternative dance,british indie rock,britpop,dance-punk,garage rock,indie folk,indie rock,indietronica,new rave,shimmer pop"
"253","alternative rock,chamber pop,folk-pop,freak folk,garage rock,indie folk,indie pop,indie rock,indietronica,lo-fi,neo-psychedelic,singer-songwriter,stomp and holler"
"254","alternative metal,alternative rock,permanent wave,pop punk,pop rock,post-grunge,punk,rock,skate punk"
"255","alt-indie rock,britpop,dance-punk,garage rock,indie rock,madchester,new rave,sheffield indie"
"256","adult standards,album rock,classic funk rock,dance pop,dance rock,disco,europop,funk,mellow gold,motown,new romantic,new wave,new wave pop,post-disco,quiet storm,soft rock,soul,soul christmas"
"257","album rock,art rock,classic rock,dance rock,hard rock,mellow gold,new romantic,new wave,new wave pop,permanent wave,rock,soft rock"
"258","album rock,art rock,classic rock,dance rock,folk christmas,lilith,mellow gold,new romantic,new wave,new wave pop,permanent wave,pop rock,power pop,rock,roots rock,singer-songwriter,soft rock,synthpop"
"259","big beat,breakbeat,electronic,hardcore techno"
"260","album rock,british invasion,classic rock,folk rock,hard rock,mellow gold,protopunk,rock,singer-songwriter"
"261","alternative rock,classic rock,dance rock,garage rock,hard rock,punk,rock"
"262","alternative metal,alternative rock,blues-rock,funk rock,garage rock,grunge,indie rock,nu metal,permanent wave,pop christmas,pop rock,post-grunge,rock"
"263","alternative rock,dance rock,indie rock,new wave,permanent wave,rock,uk post-punk"
"264","alt-indie rock,alternative rock,britpop,classic rock,dance rock,electronic,funk rock,garage rock,indie rock,madchester,new wave,rock"
"265","electronic,grime,indie rock,new rave,uk garage"
"266","alternative rock,garage rock,indie pop,indie rock,permanent wave,rock"
"267","dance-punk,garage rock,indie rock,new rave"
"268","alt-indie rock,britpop,garage rock,indie pop,indie rock,indietronica"
"269","alternative rock,britpop,electronic,garage rock,indie rock,madchester,neo mellow,neo-psychedelic,new wave,permanent wave,pop rock,rock"
"270","alternative rock,chamber pop,chillwave,dream pop,folk-pop,freak folk,indie folk,indie pop,indie rock,indietronica,neo-psychedelic,noise pop,roots rock,singer-songwriter,stomp and holler"
"271","canadian pop,pop,rap"
"272","alternative rock,blues-rock,classic rock,garage rock,indie rock,permanent wave,punk blues,rock"
"273","album rock,art rock,blues-rock,british invasion,classic rock,folk rock,hard rock,mellow gold,protopunk,rock,roots rock,singer-songwriter,soft rock"
"274","alt-indie rock,alternative dance,garage rock,indie christmas,indie pop,indie rock,indietronica,new rave"
"275","garage rock,indie rock,madchester"
"276","album rock,dance rock,disco,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,synthpop"
"277",""
"278","album rock,alternative rock,blues-rock,classic rock,folk rock,hard rock,mellow gold,pop rock,psychedelic rock,rock,roots rock,singer-songwriter,soft rock,southern rock"
"279",""
"280",""
"281","britpop,indie christmas,indie rock,madchester,neo mellow,pop christmas,pop rock,rock"
"282","alternative dance,indie pop,indie rock,indietronica,irish rock,new rave,pop"
"283","irish rock,permanent wave,rock"
"284","reggae fusion"
"285","alternative dance,alternative rock,brooklyn indie,folk-pop,garage rock,indie folk,indie pop,indie rock,indietronica,neo-psychedelic,new rave,stomp and holler,synthpop"
"286","album rock,blues-rock,classic rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock,soul"
"287","bebop,canterbury scene,classic funk rock,contemporary jazz,contemporary post-bop,cool jazz,hard bop,jazz,jazz funk,jazz fusion,progressive rock,soul jazz"
"288","alternative country,alternative rock,chamber pop,chicago indie,folk rock,folk-pop,freak folk,garage rock,indie folk,indie pop,indie rock,lo-fi,neo-psychedelic,new americana,pop rock,rock,roots rock,singer-songwriter,slow core,stomp and holler"
"289","alt-indie rock,alternative dance,chamber pop,chamber psych,chillwave,dance-punk,dream pop,indie pop,indie r&b,indie rock,indietronica,leeds indie,new rave,nu gaze,shimmer pop,synthpop"
"290","dance pop,europop,neo mellow,new wave pop,pop"
"291","alternative rock,anti-folk,art rock,chamber pop,dance rock,dance-punk,dream pop,experimental rock,folk-pop,freak folk,garage psych,garage rock,indie folk,indie pop,indie rock,indietronica,lo-fi,neo-psychedelic,new wave,noise pop,noise rock,nu gaze,permanent wave,post rock,post-punk,power pop,roots rock,shoegaze,singer-songwriter,slow core,space rock,stomp and holler,uk post-punk"
"292","mande pop,mbalax,world"
