"","INSTID","UKPRN","HE provider","Total full-time first degree young entrants","percnolongerinHE","benchmark","Standard deviation (%)","+/-","difference"
"126","0163","10007163","The University of Warwick",2685,"4.8","3.1","0.42",NA,-1.7
"48","0131","10002718","Goldsmiths College",1005,"9.6","7.9","0.71",NA,-1.7
"133","0189","10007657","Writtle College",115,"11.8","10.199999999999999","1.99",NA,-1.6
"150","0170","10007783","The University of Aberdeen",1205,"6.4","4.8","0.65",NA,-1.6
"66","0125","10007796","The University of Leicester",2210,"6.3","4.7","0.49",NA,-1.6
"166","0169","10007805","The University of Strathclyde",2465,"6.6","5.0999999999999996","0.46",NA,-1.5
"117","0077","10006299","Staffordshire University",1990,"12.8","11.4","0.53",NA,-1.4
"154","0167","10007790","The University of Edinburgh",3435,"4.7","3.3","0.38",NA,-1.4
"32","0201","10007761","Courtauld Institute of Art",40,"4.8","3.4","3.53",NA,-1.4
"84","0028","10007832","Newman University",465,"10.199999999999999","8.8000000000000007","1.08",NA,-1.4
"112","0146","10007780","The School of Oriental and African Studies",485,"7.4","6.1","1",NA,-1.3
"27","0053","10007141","The University of Central Lancashire",3210,"10.3","9.1","0.4",NA,-1.2
"54","0061","10007148","The University of Huddersfield",2765,"10.4","9.1999999999999993","0.45",NA,-1.2
"151","0095","10007849","University of Abertay Dundee",700,"9.9","8.6999999999999993","0.84",NA,-1.2
"61","0123","10007768","The University of Lancaster",2175,"5.6","4.4000000000000004","0.49",NA,-1.2
"43","0118","10007791","The University of Essex",1770,"8.5","7.5","0.56999999999999995",NA,-1
"141","0089","10007854","Cardiff Metropolitan University",1870,"10","9","0.56000000000000005",NA,-1
"153","0107","10007772","Edinburgh Napier University",1395,"9.6","8.6","0.56000000000000005",NA,-1
"152","0172","10007852","The University of Dundee",1500,"7","6.1","0.55000000000000004",NA,-0.9
"155","0106","10007762","Glasgow Caledonian University",2270,"8.6","7.8","0.44",NA,-0.8
"63","0064","10003861","Leeds Beckett University",5065,"10.199999999999999","9.4","0.35",NA,-0.799999999999999
"120","0078","10007159","The University of Sunderland",1960,"10.199999999999999","9.4","0.53",NA,-0.799999999999999
"123","0079","10007161","Teesside University",1880,"10.9","10.199999999999999","0.51",NA,-0.700000000000001
"36","0038","10007842","University of Cumbria",1110,"9.5","8.8000000000000007","0.65",NA,-0.699999999999999
"68","0023","10003956","Liverpool Hope University",995,"9","8.3000000000000007","0.75",NA,-0.699999999999999
"13","0200","10000712","University College Birmingham",450,"11.3","10.7","1.03",NA,-0.600000000000001
"100","0032","10005523","Rose Bruford College",155,"9.1999999999999993","8.6","1.93",NA,-0.6
"111","0158","10007156","The University of Salford",2675,"10.7","10.1","0.43",NA,-0.6
"161","0104","10005500","The Robert Gordon University",1595,"8","7.4","0.56000000000000005",NA,-0.6
"59","0134","10003645","King's College London",2380,"4.3","3.8","0.41",NA,-0.5
"157","0168","10007794","The University of Glasgow",3170,"5.0999999999999996","4.5999999999999996","0.38",NA,-0.5
"80","0066","10004180","The Manchester Metropolitan University",6685,"8.8000000000000007","8.4","0.28999999999999998",NA,-0.4
"97","0030","10005389","Ravensbourne",610,"9.6","9.1999999999999993","0.99",NA,-0.4
"127","0081","10007164","University of the West of England, Bristol",4030,"8.4","8.1","0.35",NA,-0.300000000000001
"125","0149","10007784","University College London†",2705,"3.2","2.9","0.4",NA,-0.3
"163","0173","10007803","The University of St Andrews",1035,"2.6","2.4","0.64",NA,-0.2
"88","0155","10007154","University of Nottingham",5135,"3.9","3.7","0.28999999999999998",NA,-0.2
"9","0026","10007152","University of Bedfordshire",2060,"11.2","11","0.51",NA,-0.199999999999999
"65","0040","10003863","Leeds Trinity University",825,"8.5","8.3000000000000007","0.84",NA,-0.199999999999999
"26","0012","10001143","Canterbury Christ Church University",2275,"8.9","8.8000000000000007","0.46",NA,-0.0999999999999996
"81","0204","10007798","The University of Manchester",5460,"3.8","3.8","0.28000000000000003",NA,0
"92","0156","10007774","The University of Oxford",2595,"1.9","1.9","0.38",NA,0
"108","0143","10007779","The Royal Veterinary College",235,"2.6","2.6","1.25",NA,0
"20","0112","10007786","The University of Bristol",3605,"2.7","2.8","0.34",NA,0.0999999999999996
"12","0110","10006840","The University of Birmingham",4750,"3.9","4","0.31",NA,0.1
"77","0137","10004063","London School of Economics and Political Science",710,"2.1","2.2000000000000002","0.75",NA,0.1
"55","0120","10007149","The University of Hull",2490,"7.8","7.9","0.44",NA,0.100000000000001
"51","0018","10040812","Harper Adams University",415,"7.1","7.3","1.07",NA,0.2
"146","0090","10007793","University of South Wales",2740,"9.1999999999999993","9.4","0.44",NA,0.200000000000001
"19","0051","10000886","The University of Brighton",2840,"7.9","8.1999999999999993","0.4",NA,0.299999999999999
"40","0117","10007789","The University of East Anglia",2155,"5.2","5.5","0.46",NA,0.3
"121","0161","10007160","The University of Surrey",1820,"5.5","5.8","0.5",NA,0.3
"21","0113","10000961","Brunel University London",2225,"7.1","7.4","0.5",NA,0.300000000000001
"110","0039","10007843","St Mary's University, Twickenham",935,"8.6","8.9","0.77",NA,0.300000000000001
"129","0083","10007165","The University of Westminster",3035,"8.6","8.9","0.43",NA,0.300000000000001
"64","0124","10007795","The University of Leeds",5350,"3.7","4.0999999999999996","0.28999999999999998",NA,0.399999999999999
"98","0157","10007802","The University of Reading",2285,"4.2","4.5999999999999996","0.45",NA,0.399999999999999
"17","0050","10000824","Bournemouth University",2800,"7.6","8","0.43",NA,0.4
"134","0013","10007713","York St John University",1515,"7.1","7.5","0.61",NA,0.4
"165","0174","10007804","The University of Stirling",1580,"5.8","6.2","0.53",NA,0.4
"171","0184","10005343","The Queen's University of Belfast",3470,"4.5","4.9000000000000004","0.35",NA,0.4
"94","0073","10007801","University of Plymouth",3835,"7.7","8.1999999999999993","0.33",NA,0.499999999999999
"83","0154","10007799","University of Newcastle-upon-Tyne",3980,"3.3","3.8","0.33",NA,0.5
"122","0162","10007806","The University of Sussex",2115,"4.4000000000000004","4.9000000000000004","0.47",NA,0.5
"115","0037","10006022","Southampton Solent University",2270,"10","10.6","0.51",NA,0.6
"135","0164","10007167","The University of York",3055,"3.5","4.0999999999999996","0.38",NA,0.6
"145","0176","10007858","University of Wales Trinity Saint David",1150,"10.5","11.1","0.65",NA,0.6
"164","0175","10005700","SRUC",165,"7","7.6","1.6",NA,0.6
"140","0179","10007814","Cardiff University",4255,"3.9","4.5","0.32",NA,0.6
"69","0065","10003957","Liverpool John Moores University",4305,"7.7","8.3000000000000007","0.35",NA,0.600000000000001
"60","0063","10003678","Kingston University",3075,"8.8000000000000007","9.5","0.4",NA,0.699999999999999
"24","0114","10007788","The University of Cambridge",2600,"1.3","2","0.37",NA,0.7
"42","0016","10007823","Edge Hill University",2500,"7.9","8.6999999999999993","0.44",NA,0.799999999999999
"39","0116","10007143","University of Durham",3125,"2.2000000000000002","3","0.35",NA,0.8
"22","0009","10000975","Buckinghamshire New University",1265,"9.3000000000000007","10.199999999999999","0.62",NA,0.899999999999999
"37","0068","10001883","De Montfort University",3275,"7.7","8.6","0.4",NA,0.899999999999999
"109","0145","10007782","St George's Hospital Medical School",360,"2.5","3.4","0.89",NA,0.9
"71","0126","10006842","The University of Liverpool",3340,"3.8","4.7","0.36",NA,0.9
"49","0059","10007146","The University of Greenwich",2730,"8.5","9.5","0.39",NA,1
"52","0060","10007147","University of Hertfordshire",3350,"7.4","8.4","0.38",NA,1
"139","0178","10007857","Bangor University",1725,"6.6","7.6","0.53",NA,1
"116","0160","10007158","The University of Southampton",3720,"3.4","4.4000000000000004","0.34",NA,1
"7","0048","10000571","Bath Spa University",1340,"6.2","7.3","0.6",NA,1.1
"106","0141","10005553","Royal Holloway and Bedford New College",1500,"3.7","4.8","0.55000000000000004",NA,1.1
