"Title_Number","Tenure","Property_Address","District","County","Region","Postcode","Multiple_Address_Indicator","Price_Paid","Proprietor_Name1","Company_Registration_No","Proprietorship_Category_1","CountryIncorporated1","Proprietor_1_Address_1","Proprietor_1_Address_2","Proprietor_1_Address_3","Proprietor_Name_2","Company_Registration_No_2","Proprietorship_Category_2","CountryIncorporated2","Proprietor_2_Address_1","Proprietor_2_Address_2","Proprietor_2_Address_3","Proprietor_Name_3","Company_Registration_No_3","Proprietorship_Category_3","CountryIncorporated3","Proprietor_3_Address_1","Proprietor_3_Address_2","Proprietor_3_Address_3","Proprietor_Name_4","Company_Registration_No_4","Proprietorship_Category_4","Country_Incorporated4","Proprietor_4_Address_1","Proprietor_4_Address_2","Proprietor_4_Address_3","Date_Proprietor_Added","Additional_Proprietor_Indicator","Latitude","Longitude"
"WM649715","Freehold","Land on the north east side of Aston Street, Queensway","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"CURLEW PROPERTY GP1 LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","11 New Street, St Peter Port, Guernsey, GY1 2PF",,,"CURLEW PROPERTY GP2 LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","11 New Street, St Peter Port, Guernsey, GY1 2PF",,,,,,,,,,,,,,,,,"15-01-2014","N","0","0"
"WM655452","Freehold","93 Greenhill Road, Handsworth, Birmingham (B21 8EA)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B21 8EA","N","20650","ST JAMES INVESTMENT GROUP LLC",,"Corporate Body","U.S.A.","Exchange Station, Tithebarn Street, Liverpool L2 2QP",,,,,,,,,,,,,,,,,,,,,,,,"21-04-2015","N","52.5142425093623","-1.94308639856694"
"WM664035","Leasehold","Quayside Tower 252-260, Broad Street, Birmingham (B1 2HF)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B1 2HF","N","13000000","BROAD STREET INVESTMENTS LIMITED",,"Limited Company or Public Limited Company","ISLE OF MAN","First Floor, 18-20 North Quay, Douglas, Isle of Man, IM1 4LE",,,,,,,,,,,,,,,,,,,,,,,,"23-06-2016","N","52.477223","-1.911043"
"WM669571","Freehold","land on the south east side of Stockfield Road, Acocks Green","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"K/S STOCKFIELD ROAD",,"Corporate Body","DENMARK","43 Welbeck Street, London W1G 8DX","Hovedvejen 2, 2600 Glostrup, Denmark",,,,,,,,,,,,,,,,,,,,,,,"26-02-2004","N","0","0"
"WM675784","Leasehold","Birmingham Sorting Office, Royal Mail Street, and the tunnel leading from the Sorting Office to New Street Station, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"MAILBOX (BIRMINGHAM) LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","PO Box 656, East Wing, Trafalgar Court, Les Banques, St Peter Port, Guernsey, GY1 3PP",,,,,,,,,,,,,,,,,,,,,,,,"08-06-2011","N","0","0"
"WM676658","Freehold","1 Avenue Road, Aston, Birmingham (B6 4DU)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B6 4DU","N",,"ARC CABIRUK001, LLC",,"Corporate Body","DELAWARE, U.S.A.","2nd Floor, 37-38 Margaret Street, London W1G 0JF","2711 Centerville Road, Suite 400, Wilmington, Delaware 19808, United States Of America",,,,,,,,,,,,,,,,,,,,,,,"11-09-2014","N","0","0"
"WM692172","Freehold","Land and Buildings on the east side of Pershore Street, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"TRANSEUROPEAN VI PERSHORE STREET (JERSEY) LIMITED",,"Limited Company or Public Limited Company","JERSEY","1 Waverley Place, Union Street, St Helier, Jersey, JE1 1SG",,,,,,,,,,,,,,,,,,,,,,,,"12-01-2017","N","0","0"
"WM695722","Freehold","74 Talbot Street, Winson Green and parking space, (B18 5DG)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B18 5DG","N",,"WALLACE PROPERTIES LIMITED",,"Limited Company or Public Limited Company","MAURITIUS","Botanic House, 100 Hills Road, Cambridge CB2 1PH",,,,,,,,,,,,,,,,,,,,,,,,"25-05-2012","N","52.4957714994691","-1.93269656629233"
"WM146227","Leasehold","Land on the north side of Bannerley Road, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"FRAIKIN ASSETS S.A.S.","BR015424","Corporate Body","FRANCE","4200 Waterside Centre, Solihull Parkway, Birmingham Business Park, Birmingham B37 7YN",,,,,,,,,,,,,,,,,,,,,,,,"28-06-2012","N","0","0"
"WM150265","Freehold","155A and 157 High Street, Kings Heath (B14 7DJ)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B14 7DJ","N",,"IRP HOLDINGS LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","Trafalgar Court, Les Banques, St Peter Port, Guernsey, GY1 3QL",,,,,,,,,,,,,,,,,,,,,,,,"25-11-2015","N","52.4331712223219","-1.89271044198638"
