"Title_Number","Tenure","Property_Address","District","County","Region","Postcode","Multiple_Address_Indicator","Price_Paid","Proprietor_Name1","Company_Registration_No","Proprietorship_Category_1","CountryIncorporated1","Proprietor_1_Address_1","Proprietor_1_Address_2","Proprietor_1_Address_3","Proprietor_Name_2","Company_Registration_No_2","Proprietorship_Category_2","CountryIncorporated2","Proprietor_2_Address_1","Proprietor_2_Address_2","Proprietor_2_Address_3","Proprietor_Name_3","Company_Registration_No_3","Proprietorship_Category_3","CountryIncorporated3","Proprietor_3_Address_1","Proprietor_3_Address_2","Proprietor_3_Address_3","Proprietor_Name_4","Company_Registration_No_4","Proprietorship_Category_4","Country_Incorporated4","Proprietor_4_Address_1","Proprietor_4_Address_2","Proprietor_4_Address_3","Date_Proprietor_Added","Additional_Proprietor_Indicator","Latitude","Longitude"
"WM982516","Leasehold","Apartment 273, Brindley House, 101 Newhall Street, Birmingham (B3 1LL)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B3 1LL","N",,"SHEENE NOMINEE LIMITED",,"Limited Company or Public Limited Company","JERSEY","13 Castle Street, St Helier, Jersey, JE4 5UT",,,"KEEGAN NOMINEE LIMITED",,"Limited Company or Public Limited Company","JERSEY","13 Castle Street, St Helier, Jersey, JE4 5UT",,,,,,,,,,,,,,,,,"08-04-2014","N","52.48448","-1.9071933"
"WM991877","Leasehold","Commercial Units, 7 Masshouse Plaza, Birmingham (B5 5JL)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B5 5JL","N",,"MASSHOUSE GROUND RENTS LIMITED","FC54220","Limited Company or Public Limited Company","GUERNSEY","Frances House, Sir William Place, St Peter Port, Guernsey","Richmond House, Heath Road, Hale, Altrincham, Cheshire WA14 2XP",,,,,,,,,,,,,,,,,,,,,,,"11-01-2012","N","52.4812636","-1.8903298"
"WK129013","Freehold","land on the west side of Floodgate Street, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"BELLERIVE REGEN 2 LIMITED",,"Limited Company or Public Limited Company","JERSEY","Elizabeth House, 9 Castle Street, St Helier, Jersey, JE2 3RT",,,,,,,,,,,,,,,,,,,,,,,,"18-07-2017","N","0","0"
"WK134110","Freehold","59, 61 and  63 Station Street, Birmingham (B5 4DY)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B5 4DY","N","3020000","TOYOKO INN CO LIMITED",,"Limited Company or Public Limited Company","JAPAN","1-7-4 Shin-Kamata, Ota-Ku, Tokyo, 144-0054, Japan",,,,,,,,,,,,,,,,,,,,,,,,"16-05-2016","N","52.4766311","-1.8985415"
"WK155848","Leasehold","The land demised by the Lease referred to below which lies within the area edged red on the plan of the above Title filed at the Registry and comprises a multi-storey car park on the South West side of Whittall Street and the tunnel leading thereto, the Service Station on the Lower Ground Floor of the Snow Hill Hotel on the North West side of Weaman Street, and the ventilation pipes leading from the Service Station Petrol Tanks and running thence through the adjoining hotel building to roof level","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"CHARIOT INVESTMENT HOLDINGS 2 S.A.R.L.",,"Corporate Body","LUXEMBOURG","400 Capability Green, Luton LU1 3AE",,,,,,,,,,,,,,,,,,,,,,,,"03-08-2017","N","0","0"
"WK162153","Freehold","Lonsdale House 52 Blucher Street, Birmingham (B1 1QU)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B1 1QU","N","1370000","TOSCA GARNET LIMITED",,"Limited Company or Public Limited Company","JERSEY","Second Floor , No.4 The Forum Grenville Street, St. Helier, Jersey, Channel Islands, JE2 4UF","Venlaw Building, 349 Bath Street, Glasgow G2 4AA",,,,,,,,,,,,,,,,,,,,,,,"10-03-2015","N","0","0"
"WK169881","Freehold","Cornwall House, 31 Lionel Street, Birmingham (B3 1AP)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B3 1AP","N",,"POLKA INVESTMENTS LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","PO Box 25 Regency Court, Glategny Esplanade, St Peter Port, Guernsey, GY1 3AP","Fourth Floor, 36 Dover Street, London W1S 4NH",,,,,,,,,,,,,,,,,,,,,,,"19-11-2015","N","52.4836343","-1.9037418"
"WK172610","Freehold","1 to 11 and 15 to 43 (odd numbers) Longhurst Croft, 2 to 114 (even numbers) Longhurst Croft and 326 362A 366 Longbridge Lane, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"WALLACE PROPERTIES LIMITED",,"Limited Company or Public Limited Company","MAURITIUS","Botanic House, 100 Hills Road, Cambridge CB2 1PH",,,,,,,,,,,,,,,,,,,,,,,,"24-06-2016","N","0","0"
"WK173566","Freehold","16-43 (All) 45, 47-69 (All) Lyons Grove, 1-11 (All) 15, 17 Rhone Close, 128-150 (even inclusive) and land buildings on the east side of Showell Green Road, 1A Philip Sydney Road, Sparkhill","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"WALLACE PROPERTIES LIMITED",,"Limited Company or Public Limited Company","MAURITIUS","Botanic House, 100 Hills Road, Cambridge CB2 1PH",,,,,,,,,,,,,,,,,,,,,,,,"25-05-2012","N","0","0"
"WK186700","Freehold","Paragon Hotel, Alcester Street, Birmingham (B12 0PJ)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B12 0PJ","N",,"PARAGON INVESTMENT ESTATE LIMITED",,"Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","59-60 Russell Square, London WC1B 4HP",,,,,,,,,,,,,,,,,,,,,,,,"04-06-2013","N","52.4705082346815","-1.88467162728051"
"WK194503","Freehold","40 Upper Gough Street, Birmingham (B1 1JL)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B1 1JL","N",,"CITY REALTY LIMITED",,"Limited Company or Public Limited Company","MARSHALL ISLANDS","8th Floor, Anchorage House, Clove Crescent, East  India Dock, London E14 2BE",,,,,,,,,,,,,,,,,,,,,,,,"05-05-2016","N","0","0"
"WK204890","Freehold","22 Northlands Road, Birmingham (B13 9RE)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B13 9RE","N","180000","THE GOVERNOR AND COMPANY OF THE BANK OF IRELAND",,"Corporate Body","IRELAND","PO Box 27, One, Temple Quay, Bristol BS99 7AX",,,,,,,,,,,,,,,,,,,,,,,,"16-09-2008","N","52.4373201630088","-1.87881437112307"
"WM442173","Freehold","43-48 New Street, 20C, 20D, 21 to 29 Temple Street and 2 to 10 (even numbers) Needless Alley","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N","14920000","SCI PENPLUS A",,"Corporate Body","FRANCE","1 Curzon Street, London W1J 5HD",,,,,,,,,,,,,,,,,,,,,,,,"26-05-2015","N","0","0"
"WM449198","Freehold","land on the South side of Floodgate Street, Digbeth, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"BELLERIVE REGEN 5 LIMITED",,"Limited Company or Public Limited Company","JERSEY","Elizabeth House, 9 Castle Street, St Helier, Jersey, JE2 3RT",,,,,,,,,,,,,,,,,,,,,,,,"18-07-2017","N","0","0"
"WM462185","Freehold","55 Allcock Street, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"BELLERIVE REGEN 7 LIMITED",,"Limited Company or Public Limited Company","JERSEY","Elizabeth House, 9 Castle Street, St Helier, Jersey, JE2 3RT",,,,,,,,,,,,,,,,,,,,,,,,"20-07-2017","N","0","0"
"WM467408","Freehold","Harveys Furnishing Group Ltd, Kingsbury Road, Erdington, Birmingham (B24 9QB)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B24 9QB","N",,"BIRMINGHAM RAVENSIDE RP LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","1st Floor, Tudor House, Le Bordage, St Peter Port, Guernsey, GY1 1DB",,,,,,,,,,,,,,,,,,,,,,,,"24-12-2012","N","52.5176878828763","-1.80297807217611"
"WM470828","Leasehold","land on the north side of Kingsbury Road, Minworth","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"REDWOOD (LIGHT INDUSTRIAL) PROPCO S.A.R.L.",,"Limited Liability Partnership","LUXEMBOURG","2-4, Rue Eugene Ruppert, L-2453, Luxembourg",,,,,,,,,,,,,,,,,,,,,,,,"03-08-2016","N","0","0"
"WM524726","Leasehold","Woodgate Dialysis Centre, 54 Kettles Wood Drive, Birmingham (B32 3DB)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B32 3DB","N",,"MEDICX HEALTH (SIX) LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","Ogier House, St Julian's Avenue, St Peter Port, Guernsey, GY1 1WA",,,,,,,,,,,,,,,,,,,,,,,,"29-12-2011","N","52.4406099487064","-1.99950865120335"
"WM540119","Freehold","land lying to the South of Waterloo Road, Kings Heath","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"LIDL UK ASSETS GMBH",,"Corporate Body","GERMANY","19 Worple Road, London SW19 4JS",,,,,,,,,,,,,,,,,,,,,,,,,"N","0","0"
"WM559056","Freehold","272 Rocky Lane, Nechells, Birmingham (B7 5HA)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B7 5HA","N","31000","WORLD LINKS LIMITED",,"Limited Company or Public Limited Company","HONG KONG","31 Bullock Street, Birmingham B7 4DY",,,,,,,,,,,,,,,,,,,,,,,,"08-08-2013","N","52.4957583","-1.8729244"
"WM559977","Leasehold","Unit 1c, Mitre Court, Lichfield Road, Sutton Coldfield (B74 2LZ)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B74 2LZ","N",,"MOVVI LIMITED",,"Limited Company or Public Limited Company","ISLE OF MAN","4th Floor, The Crane Building, 22 Lavington Street, London EC2V 7HN","PO Box 227, Clinch's House, Lord Street, Douglas, IM99 1RZ, Isle of Man",,,,,,,,,,,,,,,,,,,,,,,"25-01-2016","N","52.5684928694704","-1.82147409224917"
"WM591322","Freehold","10 St Pauls Square, Birmingham (B3 1QU)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B3 1QU","N","1950000","GRECIAN ROSE LIMITED",,"Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","52 Westferry Road, London E14 8LW",,,,,,,,,,,,,,,,,,,,,,,,"11-07-2017","N","52.4848327","-1.9047839"
"WM609163","Freehold","land and buildings on the south east side of Broad Street, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"GEORGE CAPITAL (MERCIA) LIMITED",,"Limited Company or Public Limited Company","JERSEY","26, New Street, St Helier, Jersey, JE2 3RA",,,,,,,,,,,,,,,,,,,,,,,,"08-07-2016","N","0","0"
"WM611995","Freehold","22 Maxted Road, The Pippins, New Oscott, Birmingham (B23 5DJ)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B23 5DJ","N",,"WALLACE PROPERTIES LIMITED",,"Limited Company or Public Limited Company","MAURITIUS","Botanic House, 100 Hills Road, Cambridge CB2 1PH",,,,,,,,,,,,,,,,,,,,,,,,"25-05-2012","N","52.5394838815547","-1.86331760575215"
"WM632830","Leasehold","Land on the North side of Union Street, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"COLCASTOR A S.A.R.L",,"Corporate Body","LUXEMBOURG","6A, Route De Treves, L-2633, Senningerberg, Luxembourg",,,,,,,,,,,,,,,,,,,,,,,,"14-01-2016","N","0","0"
"WK106067","Freehold","236 to 239 Broad Street and 14 to 20 (Even Numbers) Granville Street, Birmingham, (B1 2HG)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B1 2HG","N",,"K/S BIRMINGHAM BROAD STREET",,"Corporate Body","DENMARK","Edward Bannister, Field Fisher Waterhouse LLP, 35 Vine Street, London EC3N 2AA","care of Kristensen Properties A/S, Hovedvejen 2, 2600 Glostrup, Denmark",,,,,,,,,,,,,,,,,,,,,,,"27-09-2006","N","52.476403","-1.9124469"
"WK118376","Freehold","161 and 163 High Street, Kings Heath, Birmingham (B14 7DJ)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B14 7DJ","N",,"IRP HOLDINGS LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","Trafalgar Court, Les Banques, St Peter Port, Guernsey, GY1 3QL",,,,,,,,,,,,,,,,,,,,,,,,"25-11-2015","N","52.4331712223219","-1.89271044198638"
"WK140633","Leasehold","25 Tyseley Lane, Birmingham (B11 3PT)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B11 3PT","N",,"STANDARD BANK OFFSHORE TRUST COMPANY JERSEY LIMITED",,"Limited Company or Public Limited Company","JERSEY","Standard Bank House, 47-49 La Motte Street, St Helier, Jersey, JE2 4SZ",,,"LUMBRO NOMINEES (JERSEY) LIMITED",,"Limited Company or Public Limited Company","JERSEY","Standard Bank House, 47-49 La Motte Street, St Helier, Jersey, JE2 4SZ",,,,,,,,,,,,,,,,,"19-09-2013","N","52.4508259902894","-1.83604714157225"
"WK141747","Freehold","LAND ON THE SOUTH EAST SIDE OF Lifford Lane, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"USM PROPERTIES LIMITED",,"Limited Company or Public Limited Company","ISLE OF MAN","Victoria Square House, Victoria Square, Birmingham B2 4DL","Ballavaish, Staarvey Road, German, Isle of Man, IM25 2AJ",,,,,,,,,,,,,,,,,,,,,,,"31-05-2002","N","0","0"
"WK152383","Freehold","31 Tyseley Lane, Birmingham (B11 3PT)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B11 3PT","N","159950","STANDARD BANK OFFSHORE TRUST COMPANY JERSEY LIMITED",,"Limited Company or Public Limited Company","JERSEY","Standard Bank House, 47-49 La Motte Street, St Helier, Jersey, JE2 4SZ",,,"LUMBRO NOMINEES (JERSEY) LIMITED",,"Limited Company or Public Limited Company","JERSEY","Standard Bank House, 47-49 La Motte Street, St Helier, Jersey, JE2 4SZ",,,,,,,,,,,,,,,,,"19-09-2013","N","52.4508259902894","-1.83604714157225"
"WK160575","Leasehold","900 and 902 Coventry Road, Small Heath, Birmingham (B10 0UA)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B10 0UA","N",,"HAWKEYE PROPERTIES 501 LIMITED",,"Limited Company or Public Limited Company","JERSEY","Elizabeth House, 9 Castle Street, St Helier, Jersey, JE2 3RT",,,,,,,,,,,,,,,,,,,,,,,,"15-03-2016","N","52.4647023260789","-1.83957275605263"
"WM662585","Leasehold","Car Park 38 and 39 Cox Street","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N","9340000","BELLBOROUGH LIMITED",,"Limited Company or Public Limited Company","LIECHTENSTEIN","Landstrasse 11, 9495 Triesen, Liechtenstein","15 Sackville Street, London W1S 3DN",,,,,,,,,,,,,,,,,,,,,,,"01-03-2017","N","0","0"
"WK177284","Freehold","783 Chester Road, Erdington, Birmingham (B24 0BY)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B24 0BY","N",,"RESTFUL HOMES (WYLDE GREEN) LTD","111932","Limited Company or Public Limited Company","JERSEY","CTV House, La Pouquelaye, St Helier, Jersey, Channel Islands, JE2 3TP",,,,,,,,,,,,,,,,,,,,,,,,"02-04-2015","N","52.5331351445579","-1.82763151958341"
"WK194945","Freehold","1 Ashbourne Road, Birmingham (B16 0JT)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B16 0JT","N","135000","THE GOVERNOR AND COMPANY OF THE BANK OF IRELAND",,"Corporate Body","IRELAND","P O Box 27, 1 Temple Quay, Bristol BS99 7AX",,,,,,,,,,,,,,,,,,,,,,,,"07-03-2008","N","52.4847127563209","-1.94838125019664"
"WK209606","Freehold","165 Hubert Road, Selly Oak, Birmingham (B29 6ET)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B29 6ET","N","155000","MODERN STUDENT ACCOMMODATION LIMITED",,"Limited Company or Public Limited Company","JERSEY","2 Trevor Street, London SW7 1DU","P O Box 546, Portman House, Hue Street, St Helier, Jersey, JE4 5RP",,,,,,,,,,,,,,,,,,,,,,,"03-09-2014","N","52.4402660138836","-1.93097111682866"
"WK227618","Freehold","33 Tyseley Lane, Birmingham (B11 3PT)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B11 3PT","N","152500","STANDARD BANK OFFSHORE TRUST COMPANY JERSEY LIMITED",,"Limited Company or Public Limited Company","JERSEY","Standard Bank House, 47-49 La Motte Street, St Helier, Jersey, JE2 4SZ",,,"LUMBRO NOMINEES (JERSEY) LIMITED",,"Limited Company or Public Limited Company","JERSEY","Standard Bank House, 47-49 La Motte Street, St Helier, Jersey, JE2 4SZ",,,,,,,,,,,,,,,,,"19-09-2013","N","52.4508259902894","-1.83604714157225"
"WM111141","Freehold","1529 Stratford Road, Hall Green, Birmingham (B28 9JA)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B28 9JA","N","350000","GREEN GARTH PRIORY LIMITED",,"Limited Company or Public Limited Company","GIBRALTAR","846-848, Europort, Gibraltar","Horizon House, 1 Eclipse Park, Sittingbourne Road, Maidstone ME14 3EN",,,,,,,,,,,,,,,,,,,,,,,"21-12-2015","N","52.4211765478473","-1.83584734587253"
"WM126933","Freehold","Land adjoining 37 Camp Lane, Kings Norton, Birmingham (B38 8SL)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B38 8SL","N",,"MARIT LIMITED",,"Limited Company or Public Limited Company","JERSEY","PO Box 116, Hilgrove House, 10 Hilgrove Street, St Helier, Jersey, JE4 8SU, Channel Islands",,,,,,,,,,,,,,,,,,,,,,,,"24-01-2013","N","52.4131444585499","-1.93343833195398"
"WM155026","Freehold","123-125 Heath Mill Lane, Birmingham (B9 4AX)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B9 4AX","N","1289998","BELLERIVE REGEN 6 LIMITED",,"Limited Company or Public Limited Company","JERSEY","Elizabeth House, 9 Castle Street, St Helier, Jersey, Je2 3rt",,,,,,,,,,,,,,,,,,,,,,,,"18-07-2017","N","52.4769451","-1.8815777"
"WM159584","Leasehold","land at Icknield Square, Ladywood","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"R.V.B. INVESTMENTS LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","Avenue House, St. Julian's Avenue, St. Peter Port, Guernsey, Channel Islands","Albany House, Hurst Street, Birmingham B5 4BD",,,,,,,,,,,,,,,,,,,,,,,"14-05-1999","N","0","0"
"WM167567","Freehold","778 to 782 (even), 786 to 792 (even), 796 and, 798 Bristol Road, Selly Oak, Birmingham (B29 6NA)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B29 6NA","N",,"IPIS (BRISTOL ROAD BIRMINGHAM) LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","Regency Court, Glategny Esplanade, St Peter Port, Guernsey, GY1 1WW",,,,,,,,,,,,,,,,,,,,,,,,"16-04-2015","N","52.4399827291774","-1.93893007586489"
"WM203870","Freehold","Beverley Hall Court, 14-16 Regent Parade, Birmingham (B1 3NS)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B1 3NS","N",,"RAYLEIGH HOLDINGS INTERNATIONAL LIMITED",,"Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","54 Stratford Road, Shirley, Solihull, W Midlands B90 3LS",,,,,,,,,,,,,,,,,,,,,,,,"22-10-2007","N","0","0"
"WM225962","Freehold","215 Heeley Road, Selly Oak, Birmingham (B29 6EL)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B29 6EL","N","280000","MODERN STUDENT ACCOMMODATION LIMITED",,"Limited Company or Public Limited Company","JERSEY","54 Hereford Road, London W2 5AJ","PO Box 546, Portman House, Hue Street, St Helier, Jersey, JE4 5RP",,,,,,,,,,,,,,,,,,,,,,,"02-09-2010","N","52.4381529987755","-1.93037123221161"
"WM289485","Leasehold","10 SHERLOCK STREET, BIRMINGHAM B5 6LT","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B5 6LT","Y",,"FARTHING INVESTMENTS LIMITED",,"Limited Company or Public Limited Company","ST KITTS AND NEVIS","378 East Park Road, Leicester LE5 5AY",,,,,,,,,,,,,,,,,,,,,,,,"30-09-1999","N","52.472294","-1.89332"
"WM360219","Freehold","260 and 270 (Even) Bolton Road, Small Heath and Parking Space","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"WALLACE PROPERTIES LIMITED",,"Limited Company or Public Limited Company","MAURITIUS","Botanic House, 100 Hills Road, Cambridge CB2 1PH",,,,,,,,,,,,,,,,,,,,,,,,"25-05-2012","N","0","0"
"WM371843","Leasehold","Colmore Court, 9 Colmore Row, Birmingham (B3 2BJ)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B3 2BJ","N",,"UK COMMERCIAL PROPERTY NOMINEE LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","Trafalgar Court, Les Banques, St Peter Port, Guernsey GY1 3QL","Resolution Asset Management, 50 Bothwell Street, Glasgow G2 6HR",,,,,,,,,,,,,,,,,,,,,,,"01-11-2006","Y","52.4828192","-1.8977609"
"WM397351","Freehold","48 Constitution Hill, Hockley, (B19 3JT)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B19 3JT","N",,"NATURE PROPERTIES LIMITED",,"Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","PO Box 361, AIB House, Grenville Street, St Helier, Jersey, JE4 9NN",,,,,,,,,,,,,,,,,,,,,,,,"08-06-2006","N","52.4870667981844","-1.90350774892427"
"WM708038","Leasehold","37 Beeches Court, 1 Ashill Road, Rubery (B45 9YB)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B45 9YB","N",,"RETIREMENT HOUSING MANAGEMENT (ISLE OF MAN) LIMITED",,"Limited Company or Public Limited Company","ISLE OF MAN","3rd Floor, Cross House, Westgate Road, Newcastle Upon Tyne NE1 4XX",,,,,,,,,,,,,,,,,,,,,,,,"03-03-2004","N","52.39520909262","-2.00519370526664"
"WM752799","Freehold","Wheatsheaf Filling Station, Coventry Road","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"KLEINWORT BENSON (GUERNSEY) LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","Dorey Court, Admiral Park, St Peter Port, Guernsey, GY1 3BG",,,"BORROWDALE NOMINEES LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","Dorey Court, Admiral Park, St Peter Port, Guernsey, GY1 3BG",,,,,,,,,,,,,,,,,"01-06-2012","N","0","0"
"WM756004","Leasehold","Flat 5, Stanley Court, 40 Islington Row Middleway, Birmingham (B15 1LD)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B15 1LD","N","123500","AMADEUS INTERNATIONAL FOUNDATION",,"Corporate Body","PANAMA","Concept House, Brooke Street, Cleckheaton, Bradford",,,,,,,,,,,,,,,,,,,,,,,,"28-05-2004","N","52.4721807391647","-1.91717212950395"
"WM810028","Freehold","112 Calshot Road, Birmingham (B42 2BU)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B42 2BU","N",,"VAGARDS INVESTMENT CORPORATION",,"Corporate Body","PANAMA","297-299 Kenton Lane, Harrow HA3 8RR",,,,,,,,,,,,,,,,,,,,,,,,"06-01-2015","N","52.5440246579548","-1.92404151946247"
"WM830163","Freehold","China Court Buildings, Ladywell Walk (B5 4RX)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B5 4RX","N",,"GREAT ORIENTAL INVESTMENTS LIMITED",,"Limited Company or Public Limited Company","HONG KONG","Unit A 10th Floor Teda Buildings, 87 Wing Lok Street, Sheung Wan, Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,"24-05-2004","N","52.464639","-1.899969"
"WM841839","Leasehold","Land and buildings on the south east side of Bagot Street, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"PBSA 6 S.A R.L",,"Corporate Body","LUXEMBOURG","1 rue Schiller, L-2519 Luxembourg, Luxembourg",,,,,,,,,,,,,,,,,,,,,,,,"11-05-2017","N","0","0"
"WM853665","Leasehold","Apartment 21, Temple House, New Street, Birmingham (B2 5DB)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B2 5DB","N",,"M & F FINANCE IRELAND LIMITED",,"Limited Company or Public Limited Company","IRELAND","9 Merrion Square, Dublin 2, Ireland",,,,,,,,,,,,,,,,,,,,,,,,"01-04-2005","N","52.4796617","-1.8990306"
"WM854343","Freehold","2, Raddlebarn Court 71a, Raddlebarn Road, Selly Oak, Birmingham (B29 6HE)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B29 6HE","N","1266177","VESTA HERITAGE LIMITED",,"Limited Company or Public Limited Company","JERSEY","4th Floor, St Paul's Gate, 22-24 New Street, St Helier, Jersey, JE1 4TR",,,,,,,,,,,,,,,,,,,,,,,,"24-02-2017","N","52.4386906798842","-1.9275165972229"
"WM872914","Leasehold","Unit G, Kingsbury Road, Erdington, Birmingham (B24 9QB)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B24 9QB","N",,"THE AUTOMOBILE ASSOCIATION LIMITED",,"Limited Company or Public Limited Company","CHANNEL ISLANDS","22 Grenville, St. Helier, Jersey JE4",,,,,,,,,,,,,,,,,,,,,,,,"16-01-2006","N","52.5176878828763","-1.80297807217611"
"WM880410","Freehold","Unit F, Nexus Point, Holford, Broadlands, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"NEW IRELAND ASSURANCE COMPANY PLC",,"Limited Company or Public Limited Company","IRELAND","50 Broadway, Westminster, Birmingham Sw1H 0BL",,,,,,,,,,,,,,,,,,,,,,,,"03-05-2006","N","0","0"
"WM916307","Freehold","land adjoining Pitmaston, 123 Moor Green Lane, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"CHURCH OF SCIENTOLOGY RELIGIOUS EDUCATION COLLEGE INCORPORATED",,"Corporate Body","AUSTRALIA","42/44, Copthorne Road, Felbridge, East Grinstead, West Sussex RH19 2NS",,,,,,,,,,,,,,,,,,,,,,,,"25-06-2009","N","0","0"
"WM922508","Leasehold","Apartment 73, The Arcadian, 70 Hurst Street, Birmingham and parking spaces (B5 4TD)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B5 4TD","N","221580","WEALTH OPTIONS LIMITED",,"Limited Company or Public Limited Company","IRELAND","Elm House, Millennium Park, Naas, Co Kildare, Ireland",,,,,,,,,,,,,,,,,,,,,,,,"27-03-2017","N","52.4749959","-1.8971673"
"WM943751","Leasehold","Apartment 400, Orion Building, 90 Navigation Street, Birmingham (B5 4AJ)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B5 4AJ","N","88868","TRIWARD HOLDINGS LIMITED",,"Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","Mossack Fonseca & Co (BVI) Limited, Tortola, British Virgin Islands","3 Innovation Village, Cheetah Road, Coventry CV1 2TL",,,,,,,,,,,,,,,,,,,,,,,"13-07-2009","N","52.4775541","-1.9023624"
"WM943754","Leasehold","Apartment 398, Orion Building, 90 Navigation Street, Birmingham (B5 4AF)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B5 4AF","N","88868","TRIWARD HOLDINGS LIMITED",,"Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","Mossack Fonseca & Co (BVI) Limited, Tortola, British Virgin Islands","3 Innovation Village, Cheetah Road, Coventry CV1 2TL",,,,,,,,,,,,,,,,,,,,,,,"13-07-2009","N","52.4775541","-1.9023624"
