donoraddress,index,donationdesc
"16 Old Queen Street, London SW1H 9HP",3coffey_therese.htm,conference business dinner with a value of å£400
"Quartermile Two, 2 Lister Square, Edinburgh EH3 9GL",1docherty-hughes_martin.htm,"as part of an APPG on Scotch Whisky fact-finding visit to Islay, travel, accommodation and food from 7 to 8 October 2-016,  with a value of å£379.41"
"Quartermile Two, 2 Lister Square, Edinburgh EH3 9GL",1grady_patrick.htm,"as part of an APPG on Scotch Whisky fact-finding visit to Islay, travel, accommodation and subsistence with a value of å£379.41"
"Quartermile Two, 2 Lister Square, Edinburgh EH3 9GL",1ohara_brendan.htm,"as part of an APPG on Scotch Whisky fact-finding visit to Islay, travel, accommodation and subsistence with a value of å£379.41"
"Quartermile Two, 2 Lister Square, Edinburgh EH3 9GL",1bardell_hannah.htm,"as part of an APPG on Scotch Whisky fact-finding visit to Islay, travel, accommodation and subsistence with a value of å£379.41"
"Quartermile Two, 2 Lister Square, Edinburgh EH3 9GL",1brown_alan.htm,"as part of an APPG on Scotch Whisky fact-finding visit to Islay, travel, accommodation and subsistence with a value of å£379.41"
"77-79 Garnerville Rd, Belfast BT4 2NX",1lynch_holly.htm,"Invited to speak at the donor's annual conference in relation to my campaign against assaults on police officers. Flights å£249.94; bed and breakfast å£95, dinner å£35; lunch å£20; total value å£399.94"
"55 Diamond Road, Crumlin BT29 4QY",3paterson_owen.htm,"Dinner for my wife and me at the Randox Polo International event at Gleneagles, total value å£240."
"Phase 2, 2 Crewe Road North, Edinburgh EH5 2XS",4whitford_philippa.htm,"ADS guest at CBI Scotland Dinner, value å£180"
"4th floor, 49 Whitehall, London SW1A 2BXAmount of donation, or nature and value if donation in kind: Two tickets for Glastonbury, value å£900, received because of my role in relation to DCMSDate received: 21 June 2017Date accepted: 21 June 2017Donor status: company, registration 03245288(Registered 07 July 2017)",2haigh_louise.htm,"Two tickets for Glastonbury, value å£900, received because of my role in relation to DCMS"
