"","generalElectionVote","partyId1","partyId","countryOfBirth","reasonForVote"
"6160",7,3,3,NA,5
"6161",2,7,7,1,5
"6162",6,6,6,1,2
"6163",2,2,2,1,2
"6164",2,10,10,1,3
"6165",1,1,1,1,2
"6166",2,3,3,1,2
"6167",NA,10,10,1,NA
"6168",2,99,9999,1,4
"6169",2,2,2,1,2
"6170",6,6,6,1,2
"6171",3,99,9999,1,2
"6172",2,2,2,NA,5
"6173",3,3,3,1,2
"6174",1,2,2,1,1
"6175",6,2,2,NA,5
"6176",7,7,7,1,2
"6177",2,2,2,1,3
"6178",2,2,2,NA,2
"6179",2,2,2,1,2
"6180",1,1,1,1,2
"6181",NA,1,1,1,NA
"6182",1,10,10,1,3
"6183",9,2,2,NA,4
"6184",NA,10,10,1,NA
"6185",1,1,1,1,1
"6186",1,1,1,1,1
"6187",1,1,1,NA,2
"6188",1,1,1,1,3
"6189",6,9,9,1,2
"6190",1,1,1,1,2
"6191",2,3,3,1,5
"6192",6,1,1,1,5
"6193",1,1,1,1,2
"6194",1,1,1,1,2
"6195",6,1,1,1,2
"6196",1,1,1,1,2
"6197",1,10,10,1,4
"6198",1,1,1,1,2
"6199",3,2,2,1,4
"6200",2,2,2,NA,2
"6201",1,1,1,1,2
"6202",NA,10,10,6,NA
"6203",1,1,1,NA,1
"6204",6,1,1,1,5
"6205",1,6,6,6,4
"6206",6,6,6,NA,1
"6207",1,1,1,1,4
"6208",1,1,1,1,2
"6209",NA,1,1,NA,NA
"6210",6,6,6,1,2
"6211",3,2,2,1,4
"6212",1,1,1,1,2
"6213",NA,1,1,1,NA
"6214",1,3,3,1,2
"6215",2,2,2,1,2
"6216",2,1,1,1,2
"6217",3,9,9,1,5
"6218",3,3,3,NA,2
"6219",3,3,3,1,2
"6220",6,6,6,1,2
"6221",7,10,10,1,2
"6222",1,1,1,NA,1
"6223",3,3,3,1,3
"6224",1,1,1,1,2
"6225",1,1,1,1,2
"6226",2,2,2,1,2
"6227",1,1,1,1,4
"6228",2,2,2,1,1
"6229",1,1,1,1,1
"6230",1,1,1,1,1
"6231",9999,10,10,1,0
"6232",1,99,9999,NA,2
"6233",NA,99,9999,1,NA
"6234",NA,6,6,1,NA
"6235",7,3,3,NA,5
"6236",2,2,2,1,2
"6237",6,10,10,9999,3
"6238",3,1,1,1,5
"6239",1,1,1,1,2
"6240",1,1,1,1,1
"6241",7,2,2,1,2
"6242",1,1,1,1,1
"6243",1,1,1,1,2
"6244",2,2,2,NA,2
"6245",2,2,2,1,2
"6246",1,1,1,1,2
"6247",6,6,6,1,2
"6248",3,3,3,2,2
"6249",1,1,1,7,0
"6250",1,1,1,NA,1
"6251",6,6,6,1,2
"6252",2,2,2,1,2
"6253",1,1,1,1,2
"6254",NA,2,2,7,NA
"6255",1,1,1,1,1
"6256",NA,10,10,NA,NA
"6257",1,1,1,NA,2
"6258",2,2,2,NA,2
"6259",1,1,1,1,2
"6260",1,1,1,1,2
"6261",3,2,2,1,4
"6262",6,1,1,1,5
"6263",2,2,2,2,4
"6264",1,10,10,1,5
"6265",3,2,2,NA,4
"6266",6,9,9,1,5
"6267",1,1,1,NA,2
"6268",3,10,10,1,3
"6269",3,99,9999,1,4
"6270",6,3,3,1,4
"6271",6,6,6,1,2
"6272",1,1,1,1,2
"6273",1,1,1,7,1
"6274",1,1,1,7,1
"6275",7,2,2,1,3
"6276",1,1,1,1,1
"6277",1,1,1,1,2
"6278",3,7,7,NA,4
"6279",1,1,1,6,2
"6280",1,1,1,1,4
"6281",2,2,2,1,1
"6282",3,3,3,1,3
"6283",3,1,1,1,5
"6284",NA,1,1,9999,NA
"6285",1,1,1,1,2
"6286",3,7,7,1,3
"6287",7,10,10,1,4
"6288",6,6,6,1,1
"6289",2,2,2,1,2
"6290",1,1,1,1,1
"6291",1,1,1,1,2
"6292",7,7,7,3,5
"6293",2,2,2,NA,2
"6294",2,2,2,1,2
"6295",1,1,1,NA,1
"6296",1,1,1,6,5
"6297",3,10,10,NA,2
"6298",6,2,2,NA,2
"6299",6,6,6,NA,2
"6300",7,7,7,1,2
"6301",1,1,1,1,3
"6302",1,1,1,8,1
"6303",1,1,1,1,1
"6304",1,1,1,NA,1
"6305",6,6,6,1,3
"6306",1,1,1,1,2
"6307",1,1,1,1,5
"6308",1,1,1,1,1
"6309",2,10,10,1,2
"6310",1,1,1,1,1
"6311",1,1,1,NA,1
"6312",3,3,3,5,2
"6313",7,7,7,1,2
"6314",2,10,10,1,5
"6315",1,1,1,1,2
"6316",2,2,2,1,2
"6317",NA,2,2,7,NA
"6318",1,1,1,1,2
"6319",1,1,1,1,2
"6320",NA,10,10,1,NA
"6321",1,2,2,2,3
"6322",1,1,1,1,1
"6323",2,2,2,5,2
"6324",1,1,1,1,2
"6325",1,10,10,1,2
"6326",9,10,10,1,4
"6327",NA,10,10,1,NA
"6328",1,1,1,1,1
"6329",1,1,1,1,1
"6330",6,6,6,NA,3
"6331",6,1,1,NA,5
"6332",2,2,2,NA,1
"6333",1,1,1,2,2
"6334",1,1,1,1,3
"6335",2,2,2,1,2
"6336",1,1,1,1,2
"6337",2,2,2,1,2
"6338",1,1,1,1,2
"6339",NA,10,10,8,NA
"6340",1,10,10,1,2
"6341",2,3,3,1,5
"6342",1,10,10,1,2
"6343",1,10,10,6,5
"6344",6,3,3,1,4
"6345",2,2,2,1,2
"6346",NA,10,10,7,NA
"6347",3,10,10,1,2
"6348",6,9,9,1,5
"6349",2,2,2,1,1
"6350",2,99,9999,1,2
"6351",7,10,10,1,5
"6352",2,2,2,NA,1
"6353",2,2,2,NA,2
"6354",1,10,10,7,2
"6355",6,6,6,1,2
"6356",2,2,2,1,9999
"6357",7,3,3,2,5
"6358",1,1,1,6,1
"6359",2,2,2,1,1
"6360",7,2,2,NA,2
"6361",2,2,2,6,2
"6362",2,2,2,1,2
"6363",2,2,2,1,2
"6364",1,1,1,1,2
"6365",2,2,2,1,2
"6366",7,7,7,1,2
"6367",1,1,1,1,2
"6368",1,1,1,1,1
"6369",1,1,1,1,2
"6370",1,1,1,1,2
"6371",1,1,1,NA,1
"6372",2,99,9999,5,3
"6373",1,1,1,NA,1
"6374",2,2,2,1,3
"6375",2,2,2,1,2
"6376",1,1,1,1,2
"6377",2,2,2,1,1
"6378",2,10,10,1,3
"6379",1,10,10,1,2
"6380",1,1,1,2,2
"6381",9,10,10,1,9999
"6382",2,2,2,1,2
"6383",1,1,1,1,2
"6384",1,1,1,1,2
"6385",1,10,10,1,5
"6386",1,1,1,1,1
"6387",2,2,2,1,1
"6388",2,10,10,1,5
"6389",2,10,10,1,3
"6390",1,1,1,NA,4
"6391",2,2,2,1,1
"6392",NA,3,3,1,NA
"6393",7,10,10,1,2
"6394",6,6,6,1,0
"6395",2,2,2,6,2
"6396",2,2,2,1,1
"6397",6,10,10,1,2
"6398",6,10,10,1,2
"6399",3,3,3,1,1
"6400",1,3,3,1,2
"6401",1,10,10,1,2
"6402",2,2,2,1,2
